33.74.16.1007,Mangunharjo
34.01.01,Temon
34.01.01.2001,Jangkaran
34.01.01.2002,Sindutan
34.01.01.2003,Palihan
34.01.01.2004,Glagah
34.01.01.2005,Kalidengen
34.01.01.2006,Plumbon
34.01.01.2007,Kedundang
34.01.01.2008,Demen
34.01.01.2009,Kulur
34.01.01.2010,Kaligintung
34.01.01.2011,Temon Wetan
34.01.01.2012,Temon Kulon
34.01.01.2013,Kebonrejo
34.01.01.2014,Janten
34.01.01.2015,Karangwuluh
34.01.02.2001,Karangwuni
34.01.02.2002,Sogan
34.01.02.2003,Kulwaru
34.01.02.2004,Ngestiharjo
34.01.02.2005,Bendungan
34.01.02.2006,Triharjo
34.01.02.2007,Giripeni
34.01.02.1008,Wates
34.01.03.2001,Garongan
34.01.03.2002,Pleret
34.01.03.2003,Bugel
34.01.03.2004,Kanoman
34.01.03.2005,Depok
34.01.03.2006,Bojong
34.01.03.2007,Tayuban
34.01.03.2008,Gotakan
34.01.03.2009,Panjatan
34.01.03.2010,Cerme
34.01.03.2011,Krembangan
34.01.04.2001,Banaran
34.01.04.2002,Kranggan
34.01.04.2003,Nomporejo
34.01.04.2004,Karangsewu
34.01.04.2005,Tirtorahayu
34.01.04.2006,Pandowan
34.01.04.2007,Brosot
34.01.05.2001,Wahyuharjo
34.01.05.2002,Bumirejo
34.01.05.2003,Jatirejo
34.01.05.2004,Sidorejo
34.01.05.2005,Gulurejo
34.01.05.2006,Ngentakrejo
34.01.06.2001,Demangrejo
34.01.06.2002,Srikayangan
34.01.06.2003,Tuksono
34.01.06.2004,Salamrejo
34.01.06.2005,Sukoreno
34.01.06.2006,Kaliagung
34.01.06.2007,Sentolo
34.01.06.2008,Banguncipto
34.01.07.2001,Tawangsari
34.01.07.2002,Karangsari
34.01.07.2003,Kedungsari
34.01.07.2004,Margosari
34.01.07.2005,Pengasih
34.01.07.2006,Sendangsari
34.01.07.2007,Sidomulyo
34.01.08.2001,Hargomulyo
34.01.08.2002,Hargorejo
34.01.08.2003,Hargowilis
34.01.08.2004,Kalirejo
34.01.08.2005,Hargotirto
34.01.09.2001,Jatimulyo
34.01.09.2002,Giripurwo
34.01.09.2003,Pendoworejo
34.01.09.2004,Purwosari
34.01.10.2001,Banyuroto
34.01.10.2002,Donomulyo
34.01.10.2003,Wijimulyo
34.01.10.2004,Tanjungharjo
34.01.10.2005,Jatisarono
34.01.10.2006,Kembang
34.01.11.2001,Kebonharjo
34.01.11.2002,Banjarsari
34.01.11.2003,Purwoharjo
34.01.11.2004,Sidoharjo
34.01.11.2005,Gerbosari
34.01.11.2006,Ngargosari
34.01.11.2007,Pagerharjo
34.01.12.2001,Banjararum
34.01.12.2002,Banjarasri
34.01.12.2003,Banjarharjo
34.01.12.2004,Banjaroyo
34.02.01.2001,Poncosari
34.02.01.2002,Trimurti
34.02.02.2001,Gadingsari
34.02.02.2002,Gadingharjo
34.02.02.2003,Srigading
34.02.02.2004,Murtigading
34.02.03.2001,Tirtomulyo
34.02.03.2002,Parangtritis
34.02.03.2003,Donotirto
34.02.03.2004,Tirtosari
34.02.03.2005,Tirtohargo
34.02.04.2001,Seloharjo
34.02.04.2002,Panjangrejo
34.02.04.2003,Srihardono
34.02.05.2001,Sidomulyo
34.02.05.2002,Mulyodadi
34.02.05.2003,Sumbermulyo
34.02.06.2001,Catuharjo
34.02.06.2002,Triharjo
34.02.06.2003,Gilangharjo
34.02.06.2004,Wijirejo
34.02.07.2001,Triwidadi
34.02.07.2002,Sendangsari
34.02.07.2003,Guwosari
34.02.08.2001,Palbapang
34.02.08.2002,Ringinharjo
34.02.08.2003,Bantul
34.02.08.2004,Trirenggo
34.02.08.2005,Sabdodadi
34.02.09.2001,Patalan
34.02.09.2002,Canden
34.02.09.2003,Sumberagung
34.02.09.2004,Trimulyo
34.02.10.2001,Selopamioro
34.02.10.2002,Sriharjo
34.02.10.2003,Wukirsari
34.02.10.2004,Kebonagung
34.02.10.2005,Karangtengah
34.02.10.2006,Girirejo
34.02.10.2007,Karangtalun
34.02.10.2008,Imogiri
34.02.11.2001,Mangunan
34.02.11.2002,Muntuk
34.02.11.2003,Dlingo
34.02.11.2004,Temuwuh
34.02.11.2005,Terong
34.02.11.2006,Jatimulyo
34.02.12.2001,Baturetno
34.02.12.2002,Banguntapan
34.02.12.2003,Jagalan
34.02.12.2004,Singosaren
34.02.12.2005,Jambidan
34.02.12.2006,Potorono
34.02.12.2007,Tamanan
34.02.12.2008,Wirokerten
34.02.13.2001,Wonokromo
34.02.13.2002,Pleret
34.02.13.2003,Segoroyoso
34.02.13.2004,Bawuran
34.02.13.2005,Wonolelo
34.02.14.2001,Sitimulyo
34.02.14.2002,Srimulyo
34.02.14.2003,Srimartani
34.02.15.2001,Pendowoharjo
34.02.15.2002,Timbulharjo
34.02.15.2003,Bangunharjo
34.02.15.2004,Panggungharjo
34.02.16.2001,Bangunjiwo
34.02.16.2002,Tirtonirmolo
34.02.16.2003,Tamantirto
34.02.16.2004,Ngestiharjo
34.02.17.2001,Argodadi
34.02.17.2002,Argorejo
34.02.17.2003,Argosari
34.02.17.2004,Argomulyo
34.03.01.2001,Wonosari
34.03.01.2002,Kepek
34.03.01.2003,Piyaman
34.03.01.2004,Gari
34.03.01.2005,Karangtengah
34.03.01.2006,Selang
34.03.01.2007,Baleharjo
34.03.01.2008,Siraman
34.03.01.2009,Pulutan
34.03.01.2010,Wareng
34.03.01.2011,Duwet
